author,text
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
Steve Martin,"“A day without sunshine is like, you know, night.”"
Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”
Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”"
Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”
Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”"
George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”
W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”
Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
